Anio;GrupoEdad;Sexo;Casos
2020;Menor a un año;0;15
2020;Menor a un año;1;3
2020;1 a 4;0;115
2020;1 a 4;1;105
2020;5 a 9;0;159
2020;5 a 9;1;136
2020;10 a 14;0;177
2020;10 a 14;1;153
2020;15 a 19;0;132
2020;15 a 19;1;120
2020;20 a 49;0;409
2020;20 a 49;1;278
2020;50 a 64;0;46
2020;50 a 64;1;48
2020;Mayor o igual a 65;0;15
2020;Mayor o igual a 65;1;25
2021;Menor a un año;0;14
2021;Menor a un año;1;10
2021;1 a 4;0;156
2021;1 a 4;1;101
2021;5 a 9;0;193
2021;5 a 9;1;185
2021;10 a 14;0;243
2021;10 a 14;1;175
2021;15 a 19;0;159
2021;15 a 19;1;106
2021;20 a 49;0;451
2021;20 a 49;1;289
2021;50 a 64;0;65
2021;50 a 64;1;54
2021;Mayor o igual a 65;0;21
2021;Mayor o igual a 65;1;19
2022;Menor a un año;0;12
2022;Menor a un año;1;4
2022;1 a 4;0;74
2022;1 a 4;1;59
2022;5 a 9;0;105
2022;5 a 9;1;96
2022;10 a 14;0;129
2022;10 a 14;1;105
2022;15 a 19;0;106
2022;15 a 19;1;82
2022;20 a 49;0;201
2022;20 a 49;1;157
2022;50 a 64;0;36
2022;50 a 64;1;26
2022;Mayor o igual a 65;0;13
2022;Mayor o igual a 65;1;9
2023;Menor a un año;0;3
2023;Menor a un año;1;1
2023;1 a 4;0;61
2023;1 a 4;1;47
2023;5 a 9;0;56
2023;5 a 9;1;61
2023;10 a 14;0;55
2023;10 a 14;1;60
2023;15 a 19;0;41
2023;15 a 19;1;37
2023;20 a 49;0;133
2023;20 a 49;1;99
2023;50 a 64;0;15
2023;50 a 64;1;15
2023;Mayor o igual a 65;0;4
2023;Mayor o igual a 65;1;2
2024;Menor a un año;0;1
2024;Menor a un año;1;2
2024;1 a 4;0;25
2024;1 a 4;1;23
2024;5 a 9;0;28
2024;5 a 9;1;27
2024;10 a 14;0;41
2024;10 a 14;1;42
2024;15 a 19;0;31
2024;15 a 19;1;30
2024;20 a 49;0;92
2024;20 a 49;1;62
2024;50 a 64;0;15
2024;50 a 64;1;13
2024;Mayor o igual a 65;0;4
2024;Mayor o igual a 65;1;1
2025;Menor a un año;0;11
2025;Menor a un año;1;11
2025;1 a 4;0;55
2025;1 a 4;1;42
2025;5 a 9;0;56
2025;5 a 9;1;53
2025;10 a 14;0;51
2025;10 a 14;1;51
2025;15 a 19;0;43
2025;15 a 19;1;26
2025;20 a 49;0;101
2025;20 a 49;1;103
2025;50 a 64;0;18
2025;50 a 64;1;16
2025;Mayor o igual a 65;0;5
2025;Mayor o igual a 65;1;10
