Provincia;Anio;Casos
Morona Santiago;2020;535
Orellana;2020;377
Cotopaxi;2020;366
Pastaza;2020;324
Esmeraldas;2020;198
Sucumbios;2020;46
El Oro;2020;43
Santa Elena;2020;16
Manabí;2020;8
Guayas;2020;7
Los Rios;2020;7
Napo;2020;5
Santo Domingo de los Tsáchilas;2020;4
Bolívar;2020;2
Carchi;2020;2
Imbabura;2020;2
Pichincha;2020;2
Azuay;2020;1
Tungurahua;2020;1
Galapagos;2020;0
Chimborazo;2020;0
Zamora Chinchipe;2020;0
Loja;2020;0
Cañar;2020;0
Zona No delimitada;2020;0
Morona Santiago;2021;751
Orellana;2021;588
Cotopaxi;2021;150
Pastaza;2021;389
Esmeraldas;2021;199
Sucumbios;2021;83
El Oro;2021;0
Santa Elena;2021;0
Manabí;2021;8
Guayas;2021;6
Los Rios;2021;30
Napo;2021;15
Santo Domingo de los Tsáchilas;2021;8
Bolívar;2021;0
Carchi;2021;1
Imbabura;2021;2
Pichincha;2021;9
Azuay;2021;0
Tungurahua;2021;0
Galapagos;2021;0
Chimborazo;2021;0
Zamora Chinchipe;2021;0
Loja;2021;0
Cañar;2021;0
Zona No delimitada;2021;2
Morona Santiago;2022;353
Orellana;2022;313
Cotopaxi;2022;60
Pastaza;2022;229
Esmeraldas;2022;130
Sucumbios;2022;101
El Oro;2022;0
Santa Elena;2022;2
Manabí;2022;4
Guayas;2022;3
Los Rios;2022;1
Napo;2022;6
Santo Domingo de los Tsáchilas;2022;2
Bolívar;2022;0
Carchi;2022;1
Imbabura;2022;2
Pichincha;2022;6
Azuay;2022;0
Tungurahua;2022;0
Galapagos;2022;1
Chimborazo;2022;0
Zamora Chinchipe;2022;0
Loja;2022;0
Cañar;2022;0
Zona No delimitada;2022;0
Morona Santiago;2023;176
Orellana;2023;236
Cotopaxi;2023;0
Pastaza;2023;180
Esmeraldas;2023;34
Sucumbios;2023;14
El Oro;2023;3
Santa Elena;2023;1
Manabí;2023;4
Guayas;2023;7
Los Rios;2023;1
Napo;2023;2
Santo Domingo de los Tsáchilas;2023;1
Bolívar;2023;3
Carchi;2023;6
Imbabura;2023;2
Pichincha;2023;10
Azuay;2023;2
Tungurahua;2023;1
Galapagos;2023;0
Chimborazo;2023;2
Zamora Chinchipe;2023;0
Loja;2023;0
Cañar;2023;0
Zona No delimitada;2023;5
Morona Santiago;2024;113
Orellana;2024;51
Cotopaxi;2024;1
Pastaza;2024;114
Esmeraldas;2024;108
Sucumbios;2024;11
El Oro;2024;4
Santa Elena;2024;1
Manabí;2024;1
Guayas;2024;10
Los Rios;2024;2
Napo;2024;0
Santo Domingo de los Tsáchilas;2024;1
Bolívar;2024;1
Carchi;2024;1
Imbabura;2024;3
Pichincha;2024;4
Azuay;2024;0
Tungurahua;2024;5
Galapagos;2024;0
Chimborazo;2024;0
Zamora Chinchipe;2024;3
Loja;2024;1
Cañar;2024;1
Zona No delimitada;2024;1
Morona Santiago;2025;214
Orellana;2025;173
Cotopaxi;2025;2
Pastaza;2025;219
Esmeraldas;2025;26
Sucumbios;2025;4
El Oro;2025;3
Santa Elena;2025;0
Manabí;2025;0
Guayas;2025;3
Los Rios;2025;1
Napo;2025;0
Santo Domingo de los Tsáchilas;2025;1
Bolívar;2025;0
Carchi;2025;0
Imbabura;2025;0
Pichincha;2025;1
Azuay;2025;2
Tungurahua;2025;0
Galapagos;2025;0
Chimborazo;2025;1
Zamora Chinchipe;2025;1
Loja;2025;0
Cañar;2025;0
Zona No delimitada;2025;1
